fips,pop,state,county
1,4903185,Alabama,
2,731545,Alaska,
4,7278717,Arizona,
5,3017804,Arkansas,
6,39512223,California,
8,5758736,Colorado,
9,3565287,Connecticut,
10,973764,Delaware,
11,705749,District of Columbia,
12,21477737,Florida,
13,10617423,Georgia,
15,1415872,Hawaii,
16,1787065,Idaho,
17,12671821,Illinois,
18,6732219,Indiana,
19,3155070,Iowa,
20,2913314,Kansas,
21,4467673,Kentucky,
22,4648794,Louisiana,
23,1344212,Maine,
24,6045680,Maryland,
25,6892503,Massachusetts,
26,9986857,Michigan,
27,5639632,Minnesota,
28,2976149,Mississippi,
29,6137428,Missouri,
30,1068778,Montana,
31,1934408,Nebraska,
32,3080156,Nevada,
33,1359711,New Hampshire,
34,8882190,New Jersey,
35,2096829,New Mexico,
36,19453561,New York,
37,10488084,North Carolina,
38,762062,North Dakota,
39,11689100,Ohio,
40,3956971,Oklahoma,
41,4217737,Oregon,
42,12801989,Pennsylvania,
44,1059361,Rhode Island,
45,5148714,South Carolina,
46,884659,South Dakota,
47,6829174,Tennessee,
48,28995881,Texas,
49,3205958,Utah,
50,623989,Vermont,
51,8535519,Virginia,
53,7614893,Washington,
54,1792147,West Virginia,
55,5822434,Wisconsin,
56,578759,Wyoming,
66,168485,Guam,
69,52263,Northern Mariana Islands,
72,3193694,Puerto Rico,
78,106405,Virgin Islands,
1001,55869,Alabama,Autauga
1003,223234,Alabama,Baldwin
1005,24686,Alabama,Barbour
1007,22394,Alabama,Bibb
1009,57826,Alabama,Blount
1011,10101,Alabama,Bullock
1013,19448,Alabama,Butler
1015,113605,Alabama,Calhoun
1017,33254,Alabama,Chambers
1019,26196,Alabama,Cherokee
1021,44428,Alabama,Chilton
1023,12589,Alabama,Choctaw
1025,23622,Alabama,Clarke
1027,13235,Alabama,Clay
1029,14910,Alabama,Cleburne
1031,52342,Alabama,Coffee
1033,55241,Alabama,Colbert
1035,12067,Alabama,Conecuh
1037,10663,Alabama,Coosa
1039,37049,Alabama,Covington
1041,13772,Alabama,Crenshaw
1043,83768,Alabama,Cullman
1045,49172,Alabama,Dale
1047,37196,Alabama,Dallas
1049,71513,Alabama,DeKalb
1051,81209,Alabama,Elmore
1053,36633,Alabama,Escambia
1055,102268,Alabama,Etowah
1057,16302,Alabama,Fayette
1059,31362,Alabama,Franklin
1061,26271,Alabama,Geneva
1063,8111,Alabama,Greene
1065,14651,Alabama,Hale
1067,17205,Alabama,Henry
1069,105882,Alabama,Houston
1071,51626,Alabama,Jackson
1073,658573,Alabama,Jefferson
1075,13805,Alabama,Lamar
1077,92729,Alabama,Lauderdale
1079,32924,Alabama,Lawrence
1081,164542,Alabama,Lee
1083,98915,Alabama,Limestone
1085,9726,Alabama,Lowndes
1087,18068,Alabama,Macon
1089,372909,Alabama,Madison
1091,18863,Alabama,Marengo
1093,29709,Alabama,Marion
1095,96774,Alabama,Marshall
1097,413210,Alabama,Mobile
1099,20733,Alabama,Monroe
1101,226486,Alabama,Montgomery
1103,119679,Alabama,Morgan
1105,8923,Alabama,Perry
1107,19930,Alabama,Pickens
1109,33114,Alabama,Pike
1111,22722,Alabama,Randolph
1113,57961,Alabama,Russell
1115,89512,Alabama,St. Clair
1117,217702,Alabama,Shelby
1119,12427,Alabama,Sumter
1121,79978,Alabama,Talladega
1123,40367,Alabama,Tallapoosa
1125,209355,Alabama,Tuscaloosa
1127,63521,Alabama,Walker
1129,16326,Alabama,Washington
1131,10373,Alabama,Wilcox
1133,23629,Alabama,Winston
1999,,Alabama,Unknown
2013,3337,Alaska,Aleutians East Borough
2016,5634,Alaska,Aleutians West Census Area
2020,288000,Alaska,Anchorage Municipality
2050,18386,Alaska,Bethel Census Area
2060,836,Alaska,Bristol Bay Borough
2068,2097,Alaska,Denali Borough
2070,4916,Alaska,Dillingham Census Area
2090,96849,Alaska,Fairbanks North Star Borough
2100,2530,Alaska,Haines Borough
2105,2148,Alaska,Hoonah-Angoon Census Area
2110,31974,Alaska,Juneau City and Borough
2122,58708,Alaska,Kenai Peninsula Borough
2130,13901,Alaska,Ketchikan Gateway Borough
2150,12998,Alaska,Kodiak Island Borough
2158,8314,Alaska,Kusilvak Census Area
2164,1592,Alaska,Lake and Peninsula Borough
2170,108317,Alaska,Matanuska-Susitna Borough
2180,10004,Alaska,Nome Census Area
2185,9832,Alaska,North Slope Borough
2188,7621,Alaska,Northwest Arctic Borough
2195,3266,Alaska,Petersburg Borough
2198,6203,Alaska,Prince of Wales-Hyder Census Area
2220,8493,Alaska,Sitka City and Borough
2230,1183,Alaska,Skagway Municipality
2240,6893,Alaska,Southeast Fairbanks Census Area
2261,9202,Alaska,Valdez-Cordova Census Area
2275,2502,Alaska,Wrangell City and Borough
2282,579,Alaska,Yakutat City and Borough
